FlowID,Label,Type,TRR_pct,PLR_pctpoints,PDR_pct,NDI_pct,JVI_pct,ASI_score,Severity
1,1,wip,99.85477688547402,0.0,0.0,99.99999999999999,100.0,69.94191075418962,High
2,1,wip,97.61161978739656,0.0,73.54218211329501,26.457817886704994,100.0,54.33621149229963,High
3,1,wip,75.10531234219471,1.937984496124031,24.72078684425455,75.27921315574545,58.04195942774956,51.48355885963913,High
4,1,wip,86.91208063620687,10.714285714285715,57.580437292112585,42.419562707887415,31.595918606676438,49.62262237101359,Medium
5,1,wip,86.91866908608692,24.074074074074066,71.14190187306957,28.858098126930425,11.469495476524616,48.90825902969554,Medium
6,1,wip,86.91410246186555,2.7491408934707904,73.20745497135638,26.792545028643623,8.892593814193365,41.83815163993552,Medium
7,1,wip,86.92891070399455,42.857142857142854,80.97754351454459,19.022456485455407,2.1659150022524796,51.649789936057005,High
8,1,wip,86.92138613514705,31.00775193798449,74.48698872674314,25.513011273256872,0.4085586835451473,49.21433815846005,Medium
9,1,wip,100.0,100.0,0.0,100.0,100.0,100.0,High
1,1,shs,99.85117570527531,0.0,0.0,100.0,100.0,79.97023514105507,High
2,1,shs,97.55239376434403,0.0,73.54218211329501,26.457817886704994,100.0,57.447824118880305,High
3,1,shs,74.48798460797276,0.8593585594381196,28.58366891878848,71.41633108121152,39.75094902144721,48.419652664279795,Medium
4,1,shs,86.58753205308791,5.156151356628717,66.5779841930609,33.4220158069391,19.435903618747652,34.20611250964935,Medium
5,1,shs,86.59428388050826,11.171661272695554,82.2585697698118,17.741430230188204,4.081265011108722,26.09999760302984,Medium
6,1,shs,86.5896040151078,2.7491408934707904,78.96340632530206,21.03659367469795,8.892593814193365,26.846505228383116,Medium
7,1,shs,86.60477946564235,20.62460542651487,92.91775747067491,7.082242529325093,2.1659150022524796,24.220324237904713,Low
8,1,shs,86.59706830577986,13.749736951009911,86.12636150849664,13.873638491503357,0.4085586835451473,24.354020203872505,Low
9,1,shs,100.0,100.0,0.0,100.0,100.0,100.0,High
